index_num,ra,dec,conf,objID,distance,type,ra_crossmatched,dec_crossmatched
1,337.8171,-1.036552,0.733549,1.24E+18,0.028242104,3,337.8166072,-1.036534499
2,340.2724,-1.026114,0.75696,1.24E+18,0.008793856,3,340.2723091,-1.02624772
3,340.9169,-0.8349742,0.711555,1.24E+18,0.011698774,3,340.9169652,-0.835166148
4,341.0816,-0.936549,0.727195,1.24E+18,0.078747763,3,341.0826942,-0.937279929
5,341.6503,-0.9582736,0.671002,1.24E+18,0.008067556,3,341.6501772,-0.958216912
6,346.4799,-0.8567967,0.673845,1.24E+18,0.022853232,3,346.4797211,-0.85713866
7,346.4882,-0.932579,0.752644,1.24E+18,0.012471137,3,346.4880245,-0.932705185
8,346.5941,-0.8220329,0.759793,1.24E+18,0.012828206,3,346.5939387,-0.821983564
9,346.9315,-0.8384843,0.80876,1.24E+18,0.040541463,3,346.9321941,-0.838467082
10,347.3104,-0.9821227,0.737711,1.24E+18,0.016910445,3,347.3103693,-0.982399043
11,347.5275,-1.003229,0.770981,1.24E+18,0.03826223,3,347.5269632,-1.003578917
12,348.9288,-0.9496289,0.689551,1.24E+18,0.023462468,3,348.9284897,-0.949441582
13,349.7221,-0.9420071,0.808181,1.24E+18,0.026589573,3,349.721637,-0.942064765
14,351.827,-0.8285037,0.809671,1.24E+18,0.031235087,3,351.8265132,-0.828761876
15,352.9707,-0.826019,0.7833,1.24E+18,0.030613604,3,352.9710439,-0.826369044
16,353.9024,-0.975929,0.688863,1.24E+18,0.007847077,3,353.9022958,-0.976033684
17,357.6468,-0.9678033,0.663983,1.24E+18,0.014740211,3,357.6465913,-0.967892848
18,359.8826,-1.011604,0.69925,1.24E+18,0.009471493,3,359.8824999,-1.011694551
19,1.314574,-1.022525,0.714947,1.24E+18,0.01211984,3,1.314442909,-1.022371291
20,2.694351,-0.8922753,0.775444,1.24E+18,0.007684557,3,2.694390566,-0.89239721
21,2.907181,-1.019535,0.6951,1.24E+18,0.008176346,3,2.907317283,-1.019531845
