index_num,ra,dec,conf
93,34.17888288,-0.45996971,0.759317
102,47.90266555,-0.56129306,0.806027
115,349.0191337,-0.1225258,0.702761
116,352.759115,-0.13168144,0.711324
138,19.7692841,-0.13812633,0.871672
164,55.8334385,0.00170822,0.70737
218,47.69426438,0.43715078,0.710718
226,340.6288624,0.66601764,0.72026
244,31.62243791,0.70635155,0.664088
245,31.66026676,0.65816314,0.679367
268,359.5410225,1.20891563,0.776455
315,42.50320378,-1.24774389,0.718736
316,44.32825695,-1.19213481,0.808175
318,46.77537137,-1.13457822,0.778138
319,47.0434985,-1.23337277,0.739896
320,47.88741878,-1.24488865,0.693473
334,39.93838974,-0.69885865,0.768636
338,42.89416848,-0.68993715,0.717326
376,40.96955883,0.1526636,0.757125
380,50.37864663,0.1935841,0.782516
402,43.67910353,1.01147133,0.771268
406,53.66820531,1.02140673,0.678144
427,31.70179551,-1.1683227,0.691886
430,49.29634088,-1.13993098,0.728527
447,355.6003028,-0.62328191,0.682159
461,28.53345921,-0.74327952,0.772566
468,34.19854985,-0.65274435,0.725542
469,37.79759283,-0.76450636,0.67326
490,20.02905958,-0.20507842,0.722168
491,21.56749203,-0.40803907,0.662998
511,72.18736202,-0.35249976,0.762885
537,24.3136464,0.02690311,0.737632
549,69.35400485,0.00596814,0.651691
569,31.98218932,0.49667304,0.75092
579,56.17744777,0.52991093,0.663725
582,71.84783844,0.6021586,0.739988
587,0.72224067,0.947291,0.726646
598,24.44138609,0.90678667,0.694415
632,92.62384228,-0.7287799,0.697249
639,73.38869731,0.19428529,0.674424
686,48.22869383,0.98859622,0.692019
722,21.52083117,0.31611543,0.691277
744,75.67778762,0.80126182,0.681851
748,19.14662129,1.07991226,0.707822
781,35.6207772,-0.61838484,0.820508
885,14.57227765,0.04366327,0.71019
891,47.2049098,0.12980934,0.653141
895,78.51280879,0.13817526,0.732005
899,22.92331457,0.54062724,0.732115
919,69.37058473,0.96912427,0.682902
920,79.05762783,1.04762891,0.784554
937,80.46958983,0.98134725,0.654147
964,111.5009537,-0.33226474,0.694573
1076,168.6250145,-1.04433213,0.782933
1096,199.4282968,-1.00125155,0.742066
1137,185.1266036,-0.45172123,0.716748
1141,190.5402492,-0.49217843,0.736811
1201,193.9065357,-0.20644788,0.787264
1203,198.141093,-0.20372209,0.660481
1252,184.8572249,0.21121253,0.764679
1266,198.0888586,0.30823433,0.712669
1271,200.6889758,0.39915614,0.660042
1276,208.5796097,0.22058858,0.703319
1308,172.7555986,0.62698523,0.807435
1327,199.754141,0.76399114,0.731072
1362,242.306057,0.66549094,0.797294
1364,243.8404846,0.62018198,0.676027
1365,247.0362302,0.79241128,0.744229
1387,189.6399119,1.10323242,0.711401
1390,198.1165264,1.0562979,0.747419
1404,223.7808571,1.11208803,0.726535
1417,245.401285,1.20640185,0.722375
1433,175.6455012,-1.11033205,0.706371
1440,188.0412681,-1.09492358,0.778269
1476,168.5626338,-0.71637104,0.769613
1495,201.3954911,-0.64932536,0.736019
1530,162.5534376,-0.29352272,0.738251
1625,199.346695,0.00351808,0.700801
1660,153.9476647,0.5152109,0.722978
1670,187.2065316,0.59320174,0.725944
1688,217.817268,0.48389229,0.65148
1690,220.2063388,0.57500155,0.823557
1737,213.1440696,1.05386044,0.690408
1780,155.2933464,-0.94765968,0.781087
1794,182.7678592,-1.01449669,0.767634
1797,193.8178122,-0.83646991,0.678046
1815,129.0323163,-0.48859234,0.757481
1846,198.0060896,-0.41678215,0.770898
1859,236.7880234,-0.51017751,0.726643
1875,136.5875153,-0.08425962,0.653408
1899,162.3830674,-0.14367931,0.726135
1924,219.6947473,-0.02737585,0.697018
1927,222.6615753,-0.12223335,0.723366
1928,224.409437,-0.0767669,0.726464
1930,229.842497,0.00830327,0.697527
1933,118.9347499,0.29166224,0.72809
1937,123.9803854,0.35649301,0.779597
1940,127.2766693,0.27891701,0.701885
1980,226.5732397,0.25404318,0.655912
1988,121.8209701,0.63395174,0.659483
1992,128.3172058,0.7781437,0.761301
2019,184.6088927,0.79657067,0.667251
2046,158.4276735,1.22660022,0.651128
2071,92.77583234,1.0669314,0.783444
2072,92.80313364,1.02852037,0.699127
2077,311.2696393,-0.42263584,0.81412
2094,321.3911657,1.20526945,0.740029
2108,14.32632357,-3.04019781,0.677991
2119,19.34287266,-2.54549226,0.766252
2134,15.32643372,-1.30138746,0.730707
2149,14.95691973,14.3276657,0.731607
2172,15.37521973,13.80021236,0.741641
2188,26.21330395,13.58470506,0.712195
2189,27.14653319,13.33910048,0.782119
2204,4.42734697,15.33627875,0.710972
2223,32.66842096,14.14835459,0.77202
2228,30.26556143,14.70109243,0.765552
2292,324.4801204,-0.5116487,0.747922
2319,330.7832372,0.69500974,0.71157
2352,32.51751958,12.68621808,0.732201
2373,14.33305696,14.91258182,0.752636
2439,53.97044386,-6.83373223,0.719262
2440,54.7588693,-6.83823927,0.654205
2446,57.80766355,-5.93762266,0.658708
2463,65.55420412,-4.41649917,0.795608
2509,312.102372,0.58790411,0.791079
2521,320.2709144,0.85546438,0.685687
2548,3.41063446,15.67290799,0.744198
2564,29.44820854,14.8431435,0.696236
2581,48.59354866,-7.76195734,0.722987
2585,64.31908833,-5.73016749,0.828456
2588,36.97419494,-8.51327746,0.754667
2594,56.35135368,-6.46041964,0.786794
2596,60.91920528,-5.66362573,0.729373
2607,42.68902576,-7.20537974,0.653651
2628,348.0307977,-1.27717218,0.718472
2629,348.2209824,-1.09323411,0.762066
2648,329.7338957,1.01842757,0.680392
2689,127.2523521,-0.72036223,0.79454
2785,154.8125966,-2.26251616,0.824431
2788,157.2049417,-2.41942188,0.799132
2817,189.4923686,-2.70479137,0.819455
2826,157.0765834,-1.87503634,0.802248
2839,169.7257291,-2.20232611,0.795666
2857,198.5674814,-2.07496608,0.665851
2864,158.377186,-1.50817749,0.712553
2936,186.6728825,-3.55436385,0.711173
2945,196.0918934,-3.66240355,0.738167
2970,190.125816,-2.86465105,0.765888
2990,193.4899363,-2.34533286,0.652371
3005,197.6849989,-1.8021482,0.743281
3008,200.4265727,-1.90480974,0.776684
3017,186.7650456,-1.51590166,0.848517
3044,140.3201994,-0.80015984,0.656305
3089,150.3687533,-3.1923254,0.68808
3126,141.7734488,-1.6443737,0.770326
3144,154.737611,-1.6918506,0.677248
3238,132.6371431,52.5664158,0.7716
3358,182.3684979,66.17611638,0.775505
3359,183.5293358,66.1895659,0.700515
3362,189.4743528,66.06017033,0.747489
3390,148.1132662,58.42318334,0.695998
3399,126.2096741,46.9768942,0.771047
3419,113.938806,34.17644642,0.729763
3423,118.4391225,39.78268214,0.800963
3433,144.8178362,58.12372935,0.66894
3437,113.0708986,33.66797799,0.824756
3439,114.2334057,35.55091067,0.788612
3477,136.937725,55.8989646,0.690815
3498,131.1472221,53.0986312,0.774546
3499,131.2948923,53.01847497,0.792896
3501,131.4308753,53.26206917,0.741148
3556,255.345026,60.83557325,0.807224
3580,259.852798,57.15540569,0.688359
3603,252.0453042,62.7977174,0.755905
3605,254.7800375,60.13621209,0.681853
3636,258.6207057,57.25193128,0.789102
3640,253.4885049,64.46197507,0.762007
3648,259.5411974,58.44267235,0.790077
3698,250.2604237,40.07783926,0.760932
3716,265.4028505,17.76595439,0.711028
3717,266.6326434,15.45902051,0.674731
3775,264.1021172,20.94444012,0.757466
3777,265.4317152,18.38634736,0.749061
3792,137.107606,55.06693518,0.697439
3842,265.5813086,19.26754426,0.743144
3850,268.0927886,14.26815658,0.679805
3891,243.4203201,48.738135,0.67613
3902,250.5807735,41.97938365,0.743213
3903,251.2257241,41.21830012,0.785215
3925,114.995078,37.71873583,0.656329
3931,135.9625771,55.65682631,0.657987
3958,247.3959945,45.96971769,0.699961
3963,249.9716414,43.33961217,0.710565
3988,263.4510912,25.03474201,0.665919
4000,120.617086,44.94962817,0.694914
4039,248.7832615,45.40311926,0.798647
4044,253.1009149,40.93978971,0.689893
4072,268.3421585,16.64076177,0.728904
4077,116.1443173,38.56293447,0.75293
4098,116.7422697,40.17243185,0.711814
4131,115.3649435,39.54226405,0.81383
4169,117.2872981,42.79858917,0.732991
4203,114.1624829,39.47226936,0.747947
4213,146.0170601,62.56786537,0.707279
4252,153.6972649,65.22332955,0.71975
4258,171.7606959,67.81710058,0.658724
4280,263.6920191,54.15295861,0.78591
4291,262.1210491,59.31857951,0.765573
4294,263.6483406,56.15810685,0.680855
4298,262.332462,60.02463555,0.754679
4328,254.4422362,66.15341679,0.680232
4350,261.6526935,60.41040334,0.763111
4368,118.40621,42.84826334,0.681378
4381,114.8465799,39.82944237,0.735322
4386,111.592496,36.23362687,0.689001
4388,114.5123147,40.45136483,0.688683
4403,176.0789407,66.79994448,0.699206
4428,136.7360608,56.94102441,0.672286
4446,124.4289246,49.57591801,0.676065
4467,135.1019525,58.31315672,0.797731
4481,207.6902452,1.05107003,0.653156
4500,128.396046,54.56339874,0.690444
4526,243.0998317,50.29248819,0.662728
4543,197.6234987,66.52721443,0.659805
4559,236.0452256,55.97345836,0.785078
4578,201.2791841,66.58457931,0.693199
4624,243.0318378,52.51320466,0.741996
4659,241.7349029,53.94927356,0.755266
4673,209.7624903,66.84957393,0.673284
4701,195.5196323,-22.57684482,0.724828
4777,250.0890055,44.63245784,0.732428
4816,249.1703642,47.67329976,0.738696
4861,188.1938995,1.56899806,0.690527
4878,228.1606127,0.96061985,0.708387
4895,173.3069638,1.82469707,0.706301
4951,234.6510426,1.00347426,0.686851
4974,175.1286473,2.28150558,0.790167
4989,201.692356,2.2436184,0.677078
5014,229.8292337,1.65649504,0.736865
5020,232.3189817,1.59250958,0.688246
5021,232.9761835,1.63403713,0.68856
5024,239.9818044,1.33478584,0.748405
5027,242.1593339,1.29309129,0.735873
5056,182.523344,2.82345619,0.71292
5109,156.5101104,3.03270104,0.716302
5121,169.6675942,3.06819589,0.765467
5144,208.9917055,3.04620616,0.787568
5149,213.5135107,2.82630042,0.72424
5152,216.0787386,2.94813185,0.801037
5164,227.0896468,2.63125624,0.708149
5169,233.9710849,2.33967743,0.705192
5188,178.9499547,3.69693273,0.728713
5199,196.0403223,3.53540634,0.682751
5201,200.2476391,3.53843919,0.772314
5226,162.5376335,1.26496197,0.67687
5244,131.9274558,0.68229089,0.727483
5253,163.4175933,1.66174234,0.678265
5274,194.6509871,1.70523948,0.813822
5284,213.9699556,1.3680235,0.658137
5322,179.3718839,2.19816547,0.746218
5390,171.2076039,2.53597882,0.659624
5405,201.3024384,2.41856269,0.79474
5437,140.6680837,2.39975763,0.666375
5441,143.1499068,2.29055945,0.746334
5495,206.5002296,2.91067179,0.737686
5511,218.9589552,2.60590437,0.775776
5527,156.9656323,3.06405288,0.750747
5532,170.4662904,3.40506798,0.763408
5540,184.1397249,3.52178329,0.80554
5544,196.0122745,3.39106455,0.653124
5556,226.8579557,2.75671694,0.693549
5569,153.8992381,-0.26963666,0.776966
5585,229.6074416,-0.64009431,0.728227
5618,213.9491252,4.15972236,0.748218
5637,210.9001123,4.52033128,0.728769
5662,236.6757258,3.1635122,0.769967
5672,222.7299705,4.53406094,0.689375
5694,216.9674938,5.25017157,0.758472
5731,196.9751787,54.37888885,0.828313
5773,317.1584558,-7.26433838,0.659457
5778,327.866362,-8.5445278,0.702783
5791,351.2264004,-10.34086386,0.7432
5792,312.0907981,-6.06728574,0.740196
5817,325.4270648,-7.51504742,0.70482
5838,329.494543,-7.52676894,0.671054
5852,308.8110345,-4.38548856,0.702886
5853,311.7251196,-4.91403905,0.7025
5878,347.4317059,-8.37234222,0.726823
5884,344.4060075,-10.49513087,0.705069
5887,348.3219999,-10.21558129,0.733299
5918,25.98237236,-10.61411976,0.741765
5920,21.32778155,-10.38622315,0.727458
5930,25.59048093,-9.76748191,0.784349
5960,11.39360887,-10.98637011,0.822977
5980,10.83565989,-10.6256148,0.801973
5982,14.21124413,-10.55190186,0.676538
5991,4.19114136,-10.33136627,0.708194
5998,10.96386967,-10.31123335,0.699347
6027,358.5731093,-9.45126467,0.785376
6034,15.29746499,-9.30487434,0.790885
6038,351.8110923,-8.70989401,0.654385
6046,7.79104359,-8.99257494,0.775225
6050,11.79444766,-9.08407713,0.731143
6063,24.79056395,-10.50289784,0.789576
6122,27.7866099,-9.1022713,0.763731
6130,36.93917165,-8.41293889,0.701303
6183,38.38295265,-7.3441867,0.7564
6190,311.2215318,-7.1473146,0.68503
6196,310.8906644,-4.89120281,0.738077
6230,325.4692596,-7.55066524,0.736859
6278,342.6311717,12.90001999,0.656887
6286,353.7305623,13.8017766,0.682955
6288,2.16869076,14.00911663,0.680142
6327,346.9598494,14.08639255,0.722723
6372,342.1577262,14.63635022,0.76091
6377,349.9314865,15.34681314,0.787542
6404,0.02144424,16.11264187,0.766039
6408,10.99094426,-10.93496011,0.705847
6423,17.6432009,-10.2122424,0.765553
6496,22.75037383,-9.62533199,0.764496
6520,309.7386488,7.44834033,0.766389
6531,323.9514123,10.67558337,0.702057
6605,61.68033883,1.09049995,0.687616
6650,2.02703868,-0.68817363,0.656885
6661,33.14943726,-0.74886812,0.691498
6697,355.12989,0.16069113,0.698466
6698,357.5150349,0.02306973,0.708153
6707,44.82654039,-0.02300073,0.682588
6744,21.20410202,1.0331653,0.728496
6747,357.4550341,-10.78199115,0.710133
6766,5.05071275,-11.0001187,0.771141
6770,355.957865,-9.89791971,0.720352
6793,33.43043204,-8.5092346,0.724344
6795,43.60700092,-7.45242983,0.6968
6816,34.35230544,-7.47203793,0.664889
6846,120.5669214,37.71920518,0.762774
6849,123.5708876,40.74752184,0.798745
6864,115.8359632,33.13356097,0.662
6881,115.9504232,33.81416016,0.763483
6902,151.882185,57.72950933,0.769791
6903,152.3819474,57.85260976,0.738773
6924,154.5541926,59.11959675,0.673065
6936,132.2404241,49.95525121,0.759953
6943,150.1753453,58.1368372,0.736948
6952,142.7815924,56.00766924,0.65971
6974,41.88380533,-1.24636713,0.691465
7013,119.5218308,37.70921808,0.740474
7045,131.4557451,48.71197074,0.74714
7061,151.9236867,58.09635437,0.685599
7133,153.6278984,57.29683546,0.6579
7156,176.9060709,62.01757491,0.778287
7166,167.0464249,61.4685588,0.681597
7176,157.417582,60.21921797,0.682592
7185,178.4967331,62.83759501,0.746484
7210,355.2246878,13.85452099,0.719854
7223,1.0376367,14.45546698,0.66379
7243,28.69689465,13.58466111,0.705453
7248,342.4355805,14.2450367,0.672157
7313,139.9082985,2.13111762,0.702667
7321,126.5505992,1.97015884,0.717807
7328,125.0152957,2.40467045,0.73723
7357,161.0399003,1.43966328,0.664805
7376,171.0906982,2.77266466,0.657731
7397,113.5704921,31.09165628,0.68363
7471,136.0216431,3.32536529,0.758429
7476,130.838971,3.5691867,0.716927
7497,134.1052148,49.49762962,0.78401
7524,136.8096817,52.75215049,0.753117
7530,127.5251688,47.28228525,0.714846
7570,128.5251028,47.32376274,0.670557
7575,118.8930899,39.69557445,0.709335
7610,160.7544305,62.47095459,0.761547
7630,227.3615971,57.74161684,0.701459
7739,146.5146668,3.91467474,0.754452
7758,120.4439979,2.68113625,0.661891
7763,142.8541484,4.3434027,0.738694
7846,124.1357841,1.86889581,0.722611
7854,147.9551462,3.36549018,0.696761
7895,142.9565478,3.67017461,0.779058
7941,181.0199992,4.81137908,0.792636
7955,131.660051,3.31910066,0.739249
7957,132.0992361,3.38865405,0.822804
7990,167.3445446,5.04537215,0.751417
7998,174.6433148,5.27624288,0.7255
8003,176.7749773,5.34382414,0.774837
8040,156.3159165,5.12401079,0.684759
8070,122.7595279,3.39009617,0.692088
8121,180.7837031,6.07708802,0.810604
8123,182.5683894,6.04206958,0.668057
8144,116.8422249,31.04088623,0.727115
8170,129.3621889,43.14229468,0.774189
8190,128.101343,43.10215126,0.847932
8203,119.3663838,35.72091119,0.794805
8205,121.5611661,37.8027269,0.715613
8206,122.6350233,38.91609282,0.704498
8216,123.4083201,40.18742936,0.760941
8218,128.1655727,44.34692497,0.747787
8221,131.0006478,46.35463668,0.713347
8245,220.9826548,58.72612281,0.686058
8269,256.223415,32.43176218,0.715877
8270,256.3678019,32.35434997,0.766732
8292,249.1911436,41.72954356,0.814037
8294,250.6823081,40.24647291,0.804276
8301,257.5915227,31.14792927,0.674123
8314,238.792147,51.38067453,0.812277
8326,251.979339,39.50534637,0.770854
8335,256.5665769,33.62938701,0.70517
8338,259.2120471,29.47657244,0.736996
8340,260.5022619,27.38172986,0.758426
8372,259.5929871,29.90981206,0.807024
8404,257.8001423,33.63258825,0.756883
8406,259.2103568,31.5424283,0.656569
8479,118.274826,34.16795055,0.73522
8480,122.4271497,38.5383357,0.744437
8490,142.2081356,51.56003402,0.686091
8491,112.0556123,27.45300471,0.695957
8523,134.7605476,48.84130836,0.753012
8544,168.203852,58.00016005,0.801083
8571,170.5903403,59.09970842,0.681607
8580,161.5074808,58.24537474,0.677948
8583,169.7250558,59.51732162,0.748861
8616,152.1951506,-0.74391703,0.672094
8624,153.862138,-0.24816476,0.705181
8633,181.6000362,0.03682381,0.665693
8636,147.4880817,0.6244263,0.699585
8667,222.0305451,43.50934802,0.737548
8703,176.1342779,6.70449858,0.720315
8773,146.7495636,-1.70600248,0.824022
8775,147.8637097,-1.75044075,0.704308
8788,153.7011263,-1.31469552,0.808562
8805,181.2033148,65.16704212,0.71262
8837,229.0249681,2.69291825,0.808551
8842,242.1164798,1.68446117,0.696873
8850,192.7692804,4.37367519,0.703375
8904,209.3504859,4.55464042,0.753776
8943,194.3397792,5.13636845,0.69889
8968,224.9255093,4.08779884,0.794628
8987,192.8194453,5.68225249,0.792127
9031,191.0874128,6.09006013,0.728053
9036,199.3352894,6.01440512,0.65185
9042,205.3445694,5.88061546,0.787639
9045,208.858567,5.72940625,0.822532
9050,213.915198,5.60494553,0.797452
9061,225.8862042,5.00403437,0.708415
9070,228.4258394,4.87057734,0.797336
9087,119.1807423,-2.21002596,0.650939
9089,119.1774788,-2.18677984,0.672953
9090,119.1668934,-2.25097377,0.680197
9092,119.1626104,-2.2784326,0.691498
9116,115.9819817,-1.59941719,0.723766
9149,119.1285482,-1.28183255,0.697139
9151,119.1479914,-1.29692986,0.693879
9189,120.3946619,-1.07816559,0.669048
9205,119.1804722,-0.54960565,0.726831
9221,119.2556241,0.0064076,0.664402
9222,119.2018609,-0.08634273,0.675023
9224,119.2135012,-0.08977813,0.684938
9225,119.1939187,-0.00643823,0.690894
9227,155.083251,-1.1606618,0.767762
9234,218.4625023,62.27008471,0.728637
9239,252.4073558,40.57958397,0.664337
9292,262.3466858,27.27954277,0.742132
9303,239.5411117,54.59158502,0.676989
9305,241.2735562,53.45434608,0.823179
9314,246.6935847,48.9646846,0.695609
9330,258.5642196,34.56036046,0.790813
9362,264.3807524,25.04361494,0.846025
9375,249.5373864,47.7640157,0.793718
9401,251.0307126,44.57129669,0.74704
9473,160.677085,56.87083268,0.681986
9479,169.8713171,58.40536914,0.709091
9517,171.8975099,58.92416135,0.785216
9553,148.2853122,54.36296476,0.781419
9579,207.3352029,58.03627145,0.742745
9668,185.2602958,3.74032611,0.745962
9745,185.4149651,5.03104016,0.659316
9747,185.6050147,5.04178283,0.779002
9752,193.8368853,5.1072318,0.777583
9785,182.5369717,6.01682293,0.755536
9849,253.5591156,37.39334795,0.697253
9856,261.1770383,26.60902543,0.742402
9871,245.8824404,47.12232147,0.684751
9899,142.0480104,-0.82398544,0.769991
9900,142.5103248,-0.84526057,0.677702
9921,197.3626355,60.92436199,0.670125
9937,181.1273733,61.96771541,0.727955
10089,184.3635698,62.05466383,0.675801
10143,250.8724041,36.39363229,0.66726
10186,261.4048499,23.88172098,0.665937
10187,261.4130624,24.00618926,0.696607
10195,253.2865492,36.06504759,0.734166
10210,178.6489902,61.26983957,0.658426
10214,203.6016135,59.969378,0.808145
10227,207.3159172,59.81636552,0.743299
10229,210.5258055,59.28001032,0.796971
10312,214.3153229,59.27748412,0.783094
10318,225.7173482,55.75652182,0.750018
10329,211.9418878,60.19931088,0.785009
10383,233.8671998,1.42138003,0.782729
10384,235.8183511,1.30878124,0.76734
10389,233.5449958,1.7864382,0.675461
10411,250.6945584,36.52125247,0.74614
10449,256.5396924,29.93091166,0.785542
10456,244.6139159,43.66845673,0.654461
10489,255.6020333,32.88095523,0.652031
10492,255.8709027,32.19239931,0.747194
10494,256.8424923,30.96413918,0.772524
10622,224.2608844,-1.97863687,0.724711
10638,221.4168939,-1.71843841,0.72979
10691,261.9978315,26.45985962,0.727766
10717,258.5546349,0.52068609,0.670476
10718,244.6508584,1.15612626,0.74613
10736,221.3326835,-3.27466272,0.717686
10739,229.0905598,-2.95927931,0.658429
10751,220.0341097,-2.33644981,0.69496
10752,222.8163768,-2.20869839,0.782617
10755,231.0109219,-2.0513073,0.78918
10756,236.6686665,-1.79836653,0.743568
10790,215.9905556,-1.12762884,0.713644
10793,228.6609601,-0.97343377,0.675118
10801,318.1913771,-0.60503504,0.714143
10825,223.2912657,4.85121408,0.682636
10846,217.8670573,5.93854638,0.775231
10872,214.8919797,6.66909823,0.793275
10905,238.0993013,4.61037841,0.778296
10914,218.7185912,6.74811937,0.744839
10943,224.3198327,6.77997796,0.69229
10963,250.4104752,75.14425809,0.79532
10984,267.0484941,53.15193008,0.795831
11001,265.6643704,60.29286603,0.713718
11065,331.2494472,-1.03414602,0.752701
11082,338.6023011,12.46315999,0.686968
11088,346.834281,13.09978631,0.75369
11106,351.3175087,13.93539583,0.759681
11110,2.58600668,14.21874976,0.669537
11112,6.13004901,14.26028996,0.693783
11131,351.7878146,14.40136821,0.752845
11169,2.77656724,15.52470235,0.714297
11198,322.6549911,10.07335423,0.680241
11238,350.9753945,14.29283529,0.681007
11250,353.444311,14.72673978,0.747702
11252,2.66973282,15.07196172,0.683655
11311,264.9465586,49.83316248,0.677727
11367,333.2892028,-9.30895619,0.67084
11372,349.6103055,-10.47702518,0.659543
11417,247.5581801,77.05776113,0.677922
11428,264.3348204,60.42629435,0.769258
11448,264.1192906,62.2605516,0.713834
11468,254.2119912,76.10687669,0.671475
11490,267.9800694,53.24030873,0.657726
11507,259.4341083,73.05910436,0.760057
11527,251.1841334,79.31146017,0.78919
11532,256.1017119,77.08088466,0.779924
11561,247.2038872,81.74892804,0.726283
11589,270.9654002,49.4405666,0.733655
11591,271.541756,46.61016537,0.705602
11637,344.5119708,-1.0517052,0.676125
11642,355.1857981,-0.88790521,0.766956
11704,309.872796,-0.55286083,0.736008
11734,354.8148799,-0.05469326,0.705469
11759,26.70158129,0.68557406,0.668676
11797,11.28206293,-3.3671389,0.692077
11832,11.7876024,-1.21912836,0.661583
11838,31.61454013,-0.89873989,0.656989
11841,22.67848602,-0.07036991,0.693812
11872,353.7681112,-0.19027396,0.777775
11881,11.40184264,0.22534652,0.672324
11929,118.7941682,28.69964162,0.720641
11937,132.5301736,39.95597514,0.741544
11958,117.0108801,28.4055263,0.830416
11975,115.5608143,27.46289104,0.739637
11977,115.9459851,28.03050833,0.743103
12063,20.57748696,1.25689675,0.680482
12068,140.4150821,46.78925267,0.742426
12138,155.684709,54.05348943,0.743454
12161,155.9226493,54.41477297,0.761818
12164,163.0725263,55.97134234,0.721955
12177,159.7873436,55.74724997,0.749753
12192,15.25656873,2.85E-04,0.68552
12209,144.1443427,45.71832269,0.760781
12220,130.3790156,38.69503116,0.651243
12256,145.0801627,47.77732687,0.7216
12320,9.83455909,2.88933536,0.826692
12332,9.03539106,-1.29720237,0.768186
12342,8.71717179,-0.57307428,0.655147
12388,138.5837926,43.81917609,0.771256
12392,143.3794179,46.32697926,0.676228
12444,137.1749466,44.73085731,0.726496
12450,114.2423674,27.0145613,0.810571
12480,26.13017778,0.76093014,0.759091
12488,157.7875687,50.78550116,0.715074
12490,170.290636,53.0739298,0.675943
12496,181.2830816,53.89750696,0.82726
12513,171.3380281,53.79455052,0.770267
12562,184.3062504,55.38721738,0.801977
12578,174.0352807,55.30777217,0.708241
12649,126.426297,39.15058671,0.758671
12655,139.7160101,47.83267256,0.739729
12666,122.9706875,36.99007124,0.662028
12680,117.4561405,32.16412961,0.750978
12683,135.3311075,46.46449686,0.789648
12689,110.7973564,24.927895,0.7021
12721,127.6047718,39.91663732,0.661331
12750,116.7117825,31.03737122,0.721407
12768,119.6389702,34.77878319,0.703414
12835,166.9067781,56.1316137,0.771249
12872,182.7304568,57.89283831,0.751729
12874,186.732587,57.74891206,0.817247
12900,165.9091356,56.8221537,0.728684
12916,183.5480727,58.20218799,0.723315
12957,119.6960152,26.85983265,0.694291
12962,122.4735995,29.28437871,0.784171
12975,146.9044316,44.36699077,0.798315
12994,171.807308,50.6225693,0.785456
13006,213.203227,47.73161054,0.734795
13028,144.9337428,44.10044324,0.722129
13035,158.6992584,48.74807375,0.733242
13042,166.3015643,50.2342606,0.776942
13057,186.5878381,51.83576289,0.766851
13063,192.7894745,51.50347995,0.7623
13076,120.1639488,28.65397521,0.683546
13081,122.881644,31.06690527,0.674733
13083,127.763786,34.64292609,0.651719
13097,136.7206024,40.46019453,0.671067
13111,153.1739409,47.51376053,0.785072
13133,183.9504647,52.12686342,0.818581
13153,121.7072436,30.40247502,0.76784
13158,129.4441372,36.65618718,0.732106
13174,150.2204152,47.02266533,0.75368
13183,167.8370242,51.2691611,0.809894
13184,169.7787334,51.70946257,0.719981
13206,212.4320738,49.37756635,0.743656
13242,175.0661195,52.50252035,0.740579
13253,191.4398333,52.9507716,0.828485
13272,144.8822297,45.90368213,0.737206
13286,172.6027583,52.80864995,0.715475
13289,179.4490366,53.23442482,0.788101
13299,194.722462,53.07450183,0.670266
13307,149.7776303,50.82921991,0.671261
13381,141.8056743,42.36343378,0.808184
13383,144.0846814,43.5766822,0.812925
13392,129.7939476,36.05231007,0.723765
13396,134.5094783,39.06364059,0.658598
13399,139.0748132,41.50922533,0.735801
13421,123.1020152,31.86637406,0.799568
13433,134.7968097,40.29477303,0.67226
13456,40.18664432,0.32853869,0.673878
13484,153.3521762,48.2450619,0.670663
13489,149.6889784,47.57595254,0.72118
